"","cluster","Accession","Protein","SL_GOIs","Gene"
"Zm00001d021704_T001",4,"Zm00001d021704_T001","Ribosomal L28 family","Other","Zm00001d021704"
"Zm00001d009060_T001",4,"Zm00001d009060_T001","Probable beta-D-xylosidase 5","Other","Zm00001d009060"
"Zm00001d031971_T001",4,"Zm00001d031971_T001","Vignain  ","Other","Zm00001d031971"
"Zm00001d040777_T001",4,"Zm00001d040777_T001","protein_coding",NA,"Zm00001d040777"
"Zm00001d028279_T004",4,"Zm00001d028279_T004","protein_coding",NA,"Zm00001d028279"
"Zm00001d006357_T001",4,"Zm00001d006357_T001","Protein GRIP","Other","Zm00001d006357"
"Zm00001d012446_T002",4,"Zm00001d012446_T002","V-type proton ATPase subunit a1","Other","Zm00001d012446"
"Zm00001d038380_T001",4,"Zm00001d038380_T001","Ras-related protein RABE1c","Other","Zm00001d038380"
"Zm00001d028438_T003",4,"Zm00001d028438_T003","Guanine-nucleotide-exchange protein  ",NA,"Zm00001d028438"
"Zm00001d046592_T001",4,"Zm00001d046592_T001","ER membrane protein complex subunit 7 homolog",NA,"Zm00001d046592"
"Zm00001d042398_T002",4,"Zm00001d042398_T002","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2","Other","Zm00001d042398"
"Zm00001d005831_T003",4,"Zm00001d005831_T003","diacylglycerol acyltransferase 1","Other","Zm00001d005831"
"Zm00001d011081_T001",4,"Zm00001d011081_T001","Cytochrome B5 isoform D","Other","Zm00001d011081"
"Zm00001d021304_T001",4,"Zm00001d021304_T001","Endoglucanase 2","Other","Zm00001d021304"
"Zm00001d045513_T001",4,"Zm00001d045513_T001","BAG family molecular chaperone regulator 1",NA,"Zm00001d045513"
"Zm00001d009127_T001",4,"Zm00001d009127_T001","ATP-citrate synthase beta chain protein 2","Other","Zm00001d009127"
"Zm00001d020175_T001",4,"Zm00001d020175_T001","Proton pump-interactor 1","Other","Zm00001d020175"
"Zm00001d017601_T001",4,"Zm00001d017601_T001","Bifunctional dTDP-4-dehydrorhamnose 35-epimerase/dTDP-4-dehydrorhamnose reductase","Other","Zm00001d017601"
"Zm00001d035044_T003",4,"Zm00001d035044_T003","KH domain-containing protein","Other","Zm00001d035044"
"Zm00001d013609_T001",4,"Zm00001d013609_T001","protein_coding",NA,"Zm00001d013609"
"Zm00001d021169_T002",4,"Zm00001d021169_T002","Ankyrin repeat family protein",NA,"Zm00001d021169"
"Zm00001d016756_T001",4,"Zm00001d016756_T001","NF-180  ","Other","Zm00001d016756"
"Zm00001d048703_T001",4,"Zm00001d048703_T001"," benzoxazinone synthesis4","Other","Zm00001d048703"
"Zm00001d018389_T001",4,"Zm00001d018389_T001","Transmembrane 9 superfamily protein member 2  ","Other","Zm00001d018389"
"Zm00001d009858_T002",4,"Zm00001d009858_T002","Trans-cinnamate 4-monooxygenase","Other","Zm00001d009858"
"Zm00001d048710_T001",4,"Zm00001d048710_T001"," benzoxazinone synthesis2","Other","Zm00001d048710"
"Zm00001d024723_T001",4,"Zm00001d024723_T001","Long chain acyl-CoA synthetase 1","Other","Zm00001d024723"
"Zm00001d008236_T010",4,"Zm00001d008236_T010","Glucosidase 2 subunit beta",NA,"Zm00001d008236"
"Zm00001d018377_T001",4,"Zm00001d018377_T001","Diphosphomevalonate decarboxylase MVD2","Other","Zm00001d018377"
"Zm00001d021231_T002",4,"Zm00001d021231_T002","RHOMBOID-like protein 3","Other","Zm00001d021231"
"Zm00001d034758_T001",4,"Zm00001d034758_T001","Acyl-CoA binding protein  ","Other","Zm00001d034758"
"Zm00001d022181_T004",4,"Zm00001d022181_T004","Phospho-2-dehydro-3-deoxyheptonate aldolase 1  ","Other","Zm00001d022181"
"Zm00001d021806_T198",4,"Zm00001d021806_T198","HOPM interactor 7",NA,"Zm00001d021806"
"Zm00001d028359_T002",4,"Zm00001d028359_T002","Transmembrane 9 superfamily protein member 1  ",NA,"Zm00001d028359"
"Zm00001d030527_T001",4,"Zm00001d030527_T001","SEC1 family transport protein SLY1","Other","Zm00001d030527"
"Zm00001d011854_T002",4,"Zm00001d011854_T002","Villin-2","Other","Zm00001d011854"
"Zm00001d022238_T001",4,"Zm00001d022238_T001","Transmembrane emp24 domain-containing protein p24delta9","Other","Zm00001d022238"
"Zm00001d019149_T006",4,"Zm00001d019149_T006"," cellulose synthase4",NA,"Zm00001d019149"
"Zm00001d003252_T001",4,"Zm00001d003252_T001"," glucose-6-phosphate dehydrogenase1","Other","Zm00001d003252"
"Zm00001d045206_T003",4,"Zm00001d045206_T003"," Caffeoyl CoA O-methyltransferase2",NA,"Zm00001d045206"
"Zm00001d034635_T001",4,"Zm00001d034635_T001"," chalcone flavanone isomerase1","Other","Zm00001d034635"
"Zm00001d011767_T003",4,"Zm00001d011767_T003","DnaJ subfamily C member 7  ","Other","Zm00001d011767"
"Zm00001d038389_T005",4,"Zm00001d038389_T005","Phosphatidate phosphatase PAH1",NA,"Zm00001d038389"
"Zm00001d036831_T001",4,"Zm00001d036831_T001","E3 ubiquitin-protein ligase RGLG1","Other","Zm00001d036831"
"Zm00001d026291_T012",4,"Zm00001d026291_T012"," DNA methyl transferase2",NA,"Zm00001d026291"
"Zm00001d011699_T002",4,"Zm00001d011699_T002","Survival protein SurE-like phosphatase/nucleotidase",NA,"Zm00001d011699"
"Zm00001d047059_T008",4,"Zm00001d047059_T008","Tobamovirus multiplication protein 2A",NA,"Zm00001d047059"
"Zm00001d053151_T003",4,"Zm00001d053151_T003","Putative POX domain/homeobox DNA-binding domain family protein  ","Other","Zm00001d053151"
"Zm00001d048603_T001",4,"Zm00001d048603_T001","GRAS-transcription factor 83",NA,"Zm00001d048603"
"Zm00001d045208_T001",4,"Zm00001d045208_T001","PIF / Ping-Pong family of plant transposases","Other","Zm00001d045208"
"Zm00001d044953_T001",4,"Zm00001d044953_T001","GeBP-transcription factor 4","Other","Zm00001d044953"
"Zm00001d007942_T003",4,"Zm00001d007942_T003","Phosphatidylinositol 345-trisphosphate 3-phosphatase and protein-tyrosine-phosphatase PTEN2A",NA,"Zm00001d007942"
"Zm00001d035875_T002",4,"Zm00001d035875_T002","Membrane protein of ER body-like protein","Other","Zm00001d035875"
"Zm00001d043814_T001",4,"Zm00001d043814_T001","Arginine/serine-rich coiled coil protein 1  ","Other","Zm00001d043814"
"Zm00001d009352_T002",4,"Zm00001d009352_T002","bromo-adjacent homology (BAH) domain-containing protein",NA,"Zm00001d009352"
"Zm00001d042976_T001",4,"Zm00001d042976_T001","ureidoglycolate hydrolases","Other","Zm00001d042976"
"Zm00001d016326_T001",4,"Zm00001d016326_T001","KH domain-containing protein","Other","Zm00001d016326"
"Zm00001d017384_T006",4,"Zm00001d017384_T006","DEAD-box ATP-dependent RNA helicase 8",NA,"Zm00001d017384"
"Zm00001d012627_T001",4,"Zm00001d012627_T001","Insulin-degrading enzyme-like 1 peroxisomal","Other","Zm00001d012627"
"Zm00001d008327_T001",4,"Zm00001d008327_T001","H/ACA ribonucleoprotein complex subunit 4","Other","Zm00001d008327"
"Zm00001d014951_T002",4,"Zm00001d014951_T002","TMPIT-like protein","Other","Zm00001d014951"
"Zm00001d027540_T001",4,"Zm00001d027540_T001"," glutathione S-transferase12","Other","Zm00001d027540"
"Zm00001d021362_T001",4,"Zm00001d021362_T001","growth-regulating factor 9","Other","Zm00001d021362"
"Zm00001d017331_T003",4,"Zm00001d017331_T003","protein_coding",NA,"Zm00001d017331"
"Zm00001d041744_T001",4,"Zm00001d041744_T001","Protein cornichon homolog 1",NA,"Zm00001d041744"
"Zm00001d018001_T002",4,"Zm00001d018001_T002","Nucleobase-ascorbate transporter 6",NA,"Zm00001d018001"
"Zm00001d037971_T001",4,"Zm00001d037971_T001","FHA domain-containing protein DDL","Other","Zm00001d037971"
"Zm00001d002850_T001",4,"Zm00001d002850_T001","Elicitor-responsive protein 3  ","Other","Zm00001d002850"
"Zm00001d014760_T008",4,"Zm00001d014760_T008","Lysophospholipid acyltransferase LPEAT2",NA,"Zm00001d014760"
"Zm00001d032905_T001",4,"Zm00001d032905_T001","DWNN domain a CCHC-type zinc finger","Other","Zm00001d032905"
"Zm00001d001813_T001",4,"Zm00001d001813_T001","Protein kinase superfamily protein","Other","Zm00001d001813"
"Zm00001d038892_T007",4,"Zm00001d038892_T007","Putative clathrin assembly protein ",NA,"Zm00001d038892"
"Zm00001d024055_T001",4,"Zm00001d024055_T001","Expressed protein;  protein","Other","Zm00001d024055"
"Zm00001d003539_T002",4,"Zm00001d003539_T002","protein_coding","Other","Zm00001d003539"
"Zm00001d021890_T007",4,"Zm00001d021890_T007","SURP and G-patch domain-containing protein 1-like protein",NA,"Zm00001d021890"
"Zm00001d033204_T001",4,"Zm00001d033204_T001"," methyl binding domain115","Other","Zm00001d033204"
"Zm00001d004837_T001",4,"Zm00001d004837_T001","Alba DNA/RNA-binding protein","Other","Zm00001d004837"
"Zm00001d046930_T001",4,"Zm00001d046930_T001","Transducin/WD40 repeat-like superfamily protein","Other","Zm00001d046930"
"Zm00001d028755_T002",4,"Zm00001d028755_T002","Ran-binding protein 1 homolog a","Other","Zm00001d028755"
"Zm00001d053564_T002",4,"Zm00001d053564_T002","KH domain-containing protein","Other","Zm00001d053564"
"Zm00001d046221_T017",4,"Zm00001d046221_T017","ATP/GTP-binding protein family",NA,"Zm00001d046221"
"Zm00001d008628_T001",4,"Zm00001d008628_T001","Gamma-glutamyltranspeptidase 3","Other","Zm00001d008628"
"Zm00001d030173_T001",4,"Zm00001d030173_T001","Calmodulin-binding receptor-like cytoplasmic kinase 3","Other","Zm00001d030173"
"Zm00001d045295_T001",4,"Zm00001d045295_T001","ACS-like protein%3B Putative AMP-dependent synthetase and ligase superfamily protein  ","Other","Zm00001d045295"
"Zm00001d035854_T001",4,"Zm00001d035854_T001","Alpha-dioxygenase 1","Other","Zm00001d035854"
"Zm00001d010556_T003",4,"Zm00001d010556_T003","Tudor/PWWP/MBT superfamily protein","Other","Zm00001d010556"
"Zm00001d028731_T001",4,"Zm00001d028731_T001","Dolichyldiphosphatase 1  ","Other","Zm00001d028731"
"Zm00001d023738_T001",4,"Zm00001d023738_T001"," vacuolar protein sorting homolog26","Other","Zm00001d023738"
"Zm00001d028687_T001",4,"Zm00001d028687_T001"," calcium pump2","Other","Zm00001d028687"
"Zm00001d026607_T001",4,"Zm00001d026607_T001","Oligosaccharyl transferase STT3 subunit  ",NA,"Zm00001d026607"
"Zm00001d011668_T002",4,"Zm00001d011668_T002","DNAJ heat shock N-terminal domain-containing protein",NA,"Zm00001d011668"
"Zm00001d030363_T001",4,"Zm00001d030363_T001","Disease resistance response protein 206  ","Other","Zm00001d030363"
"Zm00001d048345_T002",4,"Zm00001d048345_T002","Probable serine/threonine-protein kinase ","Other","Zm00001d048345"
"Zm00001d023899_T001",4,"Zm00001d023899_T001","Peroxidase 24","Other","Zm00001d023899"
"Zm00001d023692_T001",4,"Zm00001d023692_T001","selenium binding","Other","Zm00001d023692"
"Zm00001d039594_T001",4,"Zm00001d039594_T001","FRIGIDA-like protein 4a","Other","Zm00001d039594"
"Zm00001d021452_T017",4,"Zm00001d021452_T017","BZIP transcription factor",NA,"Zm00001d021452"
"Zm00001d007865_T001",4,"Zm00001d007865_T001","CSC1-like protein ERD4","Other","Zm00001d007865"
"Zm00001d051872_T001",4,"Zm00001d051872_T001","Aquaporin PIP1-5  ","Other","Zm00001d051872"
"Zm00001d023218_T005",4,"Zm00001d023218_T005","Putative clathrin heavy chain family protein  ",NA,"Zm00001d023218"
"Zm00001d032763_T002",4,"Zm00001d032763_T002","Pre-mRNA-processing factor 19 homolog 2","Other","Zm00001d032763"
"Zm00001d036024_T001",4,"Zm00001d036024_T001"," aldo/keto reductase AKR1","Other","Zm00001d036024"
"Zm00001d038359_T004",4,"Zm00001d038359_T004","protein_coding",NA,"Zm00001d038359"
"Zm00001d028201_T001",4,"Zm00001d028201_T001","SecY protein transport family protein","Other","Zm00001d028201"
"Zm00001d014867_T001",4,"Zm00001d014867_T001","Callose synthase 3","Other","Zm00001d014867"
"Zm00001d007232_T001",4,"Zm00001d007232_T001","dentin sialophosphoprotein-related","Other","Zm00001d007232"
"Zm00001d039941_T001",4,"Zm00001d039941_T001","16.9 kDa class I heat shock protein 2  ","Other","Zm00001d039941"
"Zm00001d013040_T008",4,"Zm00001d013040_T008","Cysteine proteinases superfamily protein","Other","Zm00001d013040"
"Zm00001d043295_T003",4,"Zm00001d043295_T003","Myosin-binding protein 1",NA,"Zm00001d043295"
"Zm00001d013920_T002",4,"Zm00001d013920_T002","Phosphatidylinositol 4-phosphate 5-kinase 9","Other","Zm00001d013920"
"Zm00001d020879_T001",4,"Zm00001d020879_T001","WPP domain-interacting protein 2","Other","Zm00001d020879"
"Zm00001d050409_T001",4,"Zm00001d050409_T001","Malate dehydrogenase  ","Other","Zm00001d050409"
"Zm00001d004855_T004",4,"Zm00001d004855_T004","Actin-7",NA,"Zm00001d004855"
"Zm00001d007433_T001",4,"Zm00001d007433_T001","UPF0481 protein ","Other","Zm00001d007433"
"Zm00001d021445_T001",4,"Zm00001d021445_T001","60S ribosomal protein L14-1","Cytosolic ribosome","Zm00001d021445"
"Zm00001d030282_T002",4,"Zm00001d030282_T002","Probable alpha-mannosidase ","Other","Zm00001d030282"
"Zm00001d007229_T002",4,"Zm00001d007229_T002","Phosphoinositide phospholipase C 4",NA,"Zm00001d007229"
"Zm00001d034015_T005",4,"Zm00001d034015_T005"," exoglucanase1",NA,"Zm00001d034015"
"Zm00001d010784_T006",4,"Zm00001d010784_T006","Peptidyl-tRNA hydrolase II (PTH2) family protein",NA,"Zm00001d010784"
"Zm00001d038775_T001",4,"Zm00001d038775_T001","ATP-dependent 6-phosphofructokinase 3","Other","Zm00001d038775"
"Zm00001d011929_T002",4,"Zm00001d011929_T002","Heparan-alpha-glucosaminide N-acetyltransferase","Other","Zm00001d011929"
"Zm00001d018072_T001",4,"Zm00001d018072_T001","Membrane-anchored ubiquitin-fold protein 6","Other","Zm00001d018072"
"Zm00001d039973_T002",4,"Zm00001d039973_T002","Plastidic glucose transporter 4","Other","Zm00001d039973"
"Zm00001d003181_T002",4,"Zm00001d003181_T002","Cytochrome b561 and DOMON domain-containing protein ","Other","Zm00001d003181"
"Zm00001d021599_T002",4,"Zm00001d021599_T002","SKU5  similar 4","Other","Zm00001d021599"
"Zm00001d046136_T001",4,"Zm00001d046136_T001","GDSL esterase/lipase ","Other","Zm00001d046136"
"Zm00001d031973_T001",4,"Zm00001d031973_T001","Phosphatidylinositol-3-phosphatase myotubularin-1","Other","Zm00001d031973"
"Zm00001d007195_T005",4,"Zm00001d007195_T005","Alpha-L-arabinofuranosidase 1","Other","Zm00001d007195"
"Zm00001d050051_T001",4,"Zm00001d050051_T001","Calcineurin subunit B  ","Other","Zm00001d050051"
"Zm00001d042624_T001",4,"Zm00001d042624_T001","Probable pectinesterase/pectinesterase inhibitor 51","Other","Zm00001d042624"
"Zm00001d023564_T003",4,"Zm00001d023564_T003","Polynucleotide adenylyltransferase family protein",NA,"Zm00001d023564"
"Zm00001d027535_T001",4,"Zm00001d027535_T001","Probable acyl-activating enzyme 1 peroxisomal","Other","Zm00001d027535"
"Zm00001d012458_T001",4,"Zm00001d012458_T001","SelT-like protein","Other","Zm00001d012458"
"Zm00001d037151_T001",4,"Zm00001d037151_T001","Erwinia induced protein 1  ","Other","Zm00001d037151"
"Zm00001d053825_T001",4,"Zm00001d053825_T001","Beta-1%2C3-galactosyltransferase sqv-2  ",NA,"Zm00001d053825"
"Zm00001d021584_T003",4,"Zm00001d021584_T003","Protein kinase superfamily protein",NA,"Zm00001d021584"
"Zm00001d045304_T001",4,"Zm00001d045304_T001","HXXXD-type acyl-transferase family protein","Other","Zm00001d045304"
"Zm00001d021965_T001",4,"Zm00001d021965_T001","Peroxidase 52","Other","Zm00001d021965"
"Zm00001d034949_T001",4,"Zm00001d034949_T001"," GTP-binding protein homolog1","Other","Zm00001d034949"
"Zm00001d016181_T001",4,"Zm00001d016181_T001","protein_coding","Other","Zm00001d016181"
"Zm00001d038650_T001",4,"Zm00001d038650_T001","xylem bark cysteine peptidase 3","Other","Zm00001d038650"
"Zm00001d045952_T001",4,"Zm00001d045952_T001","UDP-glycosyltransferase 88A1","Other","Zm00001d045952"
"Zm00001d034876_T001",4,"Zm00001d034876_T001","Cleavage and polyadenylation specificity factor subunit 3-I","Other","Zm00001d034876"
"Zm00001d003904_T007",4,"Zm00001d003904_T007","Transport protein particle (TRAPP) component",NA,"Zm00001d003904"
"Zm00001d014442_T004",4,"Zm00001d014442_T004","Protein ENHANCED DISEASE RESISTANCE 2",NA,"Zm00001d014442"
"Zm00001d044699_T001",4,"Zm00001d044699_T001","Protein FLX-like 3","Other","Zm00001d044699"
"Zm00001d011877_T003",4,"Zm00001d011877_T003","Protein OSB2 chloroplastic",NA,"Zm00001d011877"
"Zm00001d047401_T003",4,"Zm00001d047401_T003","Serine/arginine-rich SC35-like splicing factor SCL33",NA,"Zm00001d047401"
"Zm00001d036328_T002",4,"Zm00001d036328_T002","2-oxoglutarate dehydrogenase E1 component",NA,"Zm00001d036328"
"Zm00001d047843_T002",4,"Zm00001d047843_T002","Enolase  ","Other","Zm00001d047843"
"Zm00001d043544_T001",4,"Zm00001d043544_T001","UDP-glycosyltransferase 88A1","Other","Zm00001d043544"
"Zm00001d013869_T001",4,"Zm00001d013869_T001","Auxin-responsive protein SAUR32",NA,"Zm00001d013869"
"Zm00001d047124_T001",4,"Zm00001d047124_T001","Proline oxidase  ",NA,"Zm00001d047124"
"Zm00001d013956_T001",4,"Zm00001d013956_T001"," tonoplast intrinsic protein3","Other","Zm00001d013956"
"Zm00001d009780_T003",4,"Zm00001d009780_T003"," gamma-tubulin1",NA,"Zm00001d009780"
"Zm00001d045109_T010",4,"Zm00001d045109_T010","Putative homeodomain-like transcription factor superfamily protein  ",NA,"Zm00001d045109"
"Zm00001d031941_T001",4,"Zm00001d031941_T001"," Archae - 10; Bacteria - 184; Metazoa - 3955; Fungi - 1221; Plants - 712; Viruses - 24; Other Eukaryotes - 2776 (sour /.../BI BLink).","Other","Zm00001d031941"
"Zm00001d007279_T001",4,"Zm00001d007279_T001","La-related protein 6B","Other","Zm00001d007279"
"Zm00001d053055_T001",4,"Zm00001d053055_T001","Dirigent protein 23","Other","Zm00001d053055"
"Zm00001d026669_T002",4,"Zm00001d026669_T002","Cell division protein FtsZ homolog 2-2 chloroplastic",NA,"Zm00001d026669"
"Zm00001d039348_T001",4,"Zm00001d039348_T001","Translation elongation  factor EF1B/ribosomal protein S6 family protein",NA,"Zm00001d039348"
"Zm00001d053245_T007",4,"Zm00001d053245_T007","Polyadenylate-binding protein-interacting protein 3",NA,"Zm00001d053245"
"Zm00001d028668_T001",4,"Zm00001d028668_T001","phosphoinositide binding","Other","Zm00001d028668"
"Zm00001d011983_T018",4,"Zm00001d011983_T018","GYF domain-containing protein",NA,"Zm00001d011983"
"Zm00001d026652_T001",4,"Zm00001d026652_T001","DNA binding protein  ","Other","Zm00001d026652"
"Zm00001d045046_T001",4,"Zm00001d045046_T001"," Pi starvation-induced transcription factor1",NA,"Zm00001d045046"
"Zm00001d053816_T012",4,"Zm00001d053816_T012","Thiosulfate/3-mercaptopyruvate sulfurtransferase 1 mitochondrial",NA,"Zm00001d053816"
"Zm00001d031942_T002",4,"Zm00001d031942_T002","Vesicle-associated membrane protein 727","Other","Zm00001d031942"
"Zm00001d034609_T002",4,"Zm00001d034609_T002","40S ribosomal protein S26  ","Cytosolic ribosome","Zm00001d034609"
"Zm00001d041138_T006",4,"Zm00001d041138_T006","Exocyst complex component SEC10","Other","Zm00001d041138"
"Zm00001d000257_T002",4,"Zm00001d000257_T002","Transmembrane CLPTM1 family protein","Other","Zm00001d000257"
"Zm00001d040279_T012",4,"Zm00001d040279_T012"," topless-related1",NA,"Zm00001d040279"
"Zm00001d012776_T001",4,"Zm00001d012776_T001"," dehydrin7","Other","Zm00001d012776"
"Zm00001d031894_T001",4,"Zm00001d031894_T001","Ubiquitin carboxyl-terminal hydrolase",NA,"Zm00001d031894"
"Zm00001d004193_T001",4,"Zm00001d004193_T001","Probable carbohydrate esterase ","Other","Zm00001d004193"
"Zm00001d036560_T001",4,"Zm00001d036560_T001","Zinc finger CCCH domain-containing protein 40","Other","Zm00001d036560"
"Zm00001d039182_T001",4,"Zm00001d039182_T001","B6UHT1]","Other","Zm00001d039182"
"Zm00001d034519_T001",4,"Zm00001d034519_T001","Probable acyl-activating enzyme 18 peroxisomal","Other","Zm00001d034519"
"Zm00001d044979_T002",4,"Zm00001d044979_T002","Putative DUF1296 domain containing family protein  ",NA,"Zm00001d044979"
"Zm00001d000120_T003",4,"Zm00001d000120_T003"," maize CRY1 homolog2",NA,"Zm00001d000120"
"Zm00001d048080_T002",4,"Zm00001d048080_T002","Probable glucan 13-alpha-glucosidase","Other","Zm00001d048080"
"Zm00001d010982_T001",4,"Zm00001d010982_T001","Tetraspanin-3","Other","Zm00001d010982"
"Zm00001d033055_T002",4,"Zm00001d033055_T002","4-coumarate--CoA ligase-like 7",NA,"Zm00001d033055"
"Zm00001d009504_T001",4,"Zm00001d009504_T001","Dynamin protein 1A  ","Other","Zm00001d009504"
"Zm00001d014083_T001",4,"Zm00001d014083_T001","Beta-amylase  ",NA,"Zm00001d014083"
"Zm00001d042729_T001",4,"Zm00001d042729_T001","VAMP-like protein YKT61","Other","Zm00001d042729"
"Zm00001d026036_T001",4,"Zm00001d026036_T001","AT-hook motif nuclear-localized protein 13","Other","Zm00001d026036"
"Zm00001d009878_T001",4,"Zm00001d009878_T001","Transcription factor IIA alpha/beta subunit","Other","Zm00001d009878"
"Zm00001d036123_T001",4,"Zm00001d036123_T001","nodulin MtN21 /EamA-like transporter family protein","Other","Zm00001d036123"
"Zm00001d036796_T004",4,"Zm00001d036796_T004","Zinc finger CCCH domain-containing protein 52","Other","Zm00001d036796"
"Zm00001d016285_T001",4,"Zm00001d016285_T001","Protein kinase family protein with leucine-rich repeat domain","Other","Zm00001d016285"
"Zm00001d045076_T001",4,"Zm00001d045076_T001","Serine/arginine-rich splicing factor RSZ22","Other","Zm00001d045076"
"Zm00001d033624_T012",4,"Zm00001d033624_T012"," lipoxygenase4",NA,"Zm00001d033624"
"Zm00001d040274_T002",4,"Zm00001d040274_T002","Importin subunit alpha  ","Other","Zm00001d040274"
"Zm00001d029976_T006",4,"Zm00001d029976_T006"," calcineurin B-like1",NA,"Zm00001d029976"
"Zm00001d017530_T001",4,"Zm00001d017530_T001","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family","Other","Zm00001d017530"
"Zm00001d012674_T001",4,"Zm00001d012674_T001"," chorismate mutase1","Other","Zm00001d012674"
"Zm00001d022327_T001",4,"Zm00001d022327_T001","Probable carboxylesterase 18","Other","Zm00001d022327"
"Zm00001d016077_T001",4,"Zm00001d016077_T001","Sec20 family protein",NA,"Zm00001d016077"
"Zm00001d040784_T004",4,"Zm00001d040784_T004","Glycine-rich domain-containing protein 1",NA,"Zm00001d040784"
"Zm00001d049716_T001",4,"Zm00001d049716_T001","GroES-like zinc-binding alcohol dehydrogenase family protein",NA,"Zm00001d049716"
"Zm00001d021842_T001",4,"Zm00001d021842_T001","Zinc finger AN1 and C2H2 domain-containing stress-associated protein 11","Other","Zm00001d021842"
"Zm00001d039387_T001",4,"Zm00001d039387_T001","SOUL heme-binding family protein","Other","Zm00001d039387"
"Zm00001d052747_T001",4,"Zm00001d052747_T001","oxidoreductase zinc-binding dehydrogenase family protein","Other","Zm00001d052747"
"Zm00001d020571_T002",4,"Zm00001d020571_T002","Transcription initiation factor TFIID subunit 10",NA,"Zm00001d020571"
"Zm00001d053613_T001",4,"Zm00001d053613_T001","RNA-binding (RRM/RBD/RNP motifs) family protein","Other","Zm00001d053613"
"Zm00001d043771_T001",4,"Zm00001d043771_T001","Putative phosphoethanolamine N-methyltransferase  ","Other","Zm00001d043771"
"Zm00001d044432_T004",4,"Zm00001d044432_T004","Transcriptional corepressor LEUNIG",NA,"Zm00001d044432"
"Zm00001d048407_T001",4,"Zm00001d048407_T001","L-ornithine N5-acetyltransferase NATA1","Other","Zm00001d048407"
"Zm00001d041035_T002",4,"Zm00001d041035_T002","Ubiquitin carboxyl-terminal hydrolase 13",NA,"Zm00001d041035"
"Zm00001d017845_T001",4,"Zm00001d017845_T001","alpha/beta-Hydrolases superfamily protein","Other","Zm00001d017845"
"Zm00001d031542_T001",4,"Zm00001d031542_T001","Serrate RNA effector molecule","Other","Zm00001d031542"
"Zm00001d021686_T003",4,"Zm00001d021686_T003","Receptor-like serine-threonine protein kinase  ",NA,"Zm00001d021686"
"Zm00001d053259_T002",4,"Zm00001d053259_T002","Probable protein phosphatase 2C 74","Other","Zm00001d053259"
"Zm00001d020765_T001",4,"Zm00001d020765_T001","DNA-damage-repair/toleration protein DRT111 chloroplastic","Other","Zm00001d020765"
"Zm00001d042335_T016",4,"Zm00001d042335_T016","Mannosyl-oligosaccharide glucosidase GCS1",NA,"Zm00001d042335"
"Zm00001d035817_T001",4,"Zm00001d035817_T001","Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain","Other","Zm00001d035817"
"Zm00001d034918_T002",4,"Zm00001d034918_T002","ABC transporter G family member 3","Other","Zm00001d034918"
"Zm00001d017106_T004",4,"Zm00001d017106_T004","Actin-related protein 3",NA,"Zm00001d017106"
"Zm00001d013265_T007",4,"Zm00001d013265_T007","Transcriptional adapter ADA2b",NA,"Zm00001d013265"
"Zm00001d028952_T001",4,"Zm00001d028952_T001","Alpha-L-arabinofuranosidase 1",NA,"Zm00001d028952"
"Zm00001d043052_T001",4,"Zm00001d043052_T001","Endoplasmic reticulum vesicle transporter protein","Other","Zm00001d043052"
"Zm00001d043863_T004",4,"Zm00001d043863_T004","THAP domain-containing protein 4  ",NA,"Zm00001d043863"
"Zm00001d042540_T007",4,"Zm00001d042540_T007","Linoleate 9S-lipoxygenase 1","Other","Zm00001d042540"
"Zm00001d008905_T001",4,"Zm00001d008905_T001","Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein","Other","Zm00001d008905"
"Zm00001d031805_T001",4,"Zm00001d031805_T001","Gibberellin receptor GID1L2  ","Other","Zm00001d031805"
"Zm00001d052767_T002",4,"Zm00001d052767_T002","PLC-like phosphodiesterases superfamily protein","Other","Zm00001d052767"
"Zm00001d011631_T001",4,"Zm00001d011631_T001","Reticulon-like protein B9","Other","Zm00001d011631"
"Zm00001d027665_T004",4,"Zm00001d027665_T004","Protein SHOOT GRAVITROPISM 6","Other","Zm00001d027665"
"Zm00001d016170_T001",4,"Zm00001d016170_T001","Peroxisome biogenesis protein 7","Other","Zm00001d016170"
"Zm00001d022092_T001",4,"Zm00001d022092_T001","Cytosolic sulfotransferase 17","Other","Zm00001d022092"
"Zm00001d017347_T001",4,"Zm00001d017347_T001","SufE-like protein 1 chloroplastic/mitochondrial","Other","Zm00001d017347"
"Zm00001d025180_T001",4,"Zm00001d025180_T001","Ypt/Rab-GAP domain of gyp1p superfamily protein",NA,"Zm00001d025180"
"Zm00001d008596_T002",4,"Zm00001d008596_T002","Vacuolar sorting protein 4b  ","Other","Zm00001d008596"
"Zm00001d030083_T001",4,"Zm00001d030083_T001"," low phytic acid2","Other","Zm00001d030083"
"Zm00001d029973_T002",4,"Zm00001d029973_T002","Nucleic acid binding protein  ",NA,"Zm00001d029973"
"Zm00001d014037_T004",4,"Zm00001d014037_T004","Serine/threonine protein phosphatase 2A regulatory subunit B''alpha",NA,"Zm00001d014037"
"Zm00001d011242_T002",4,"Zm00001d011242_T002"," porin1","Other","Zm00001d011242"
